,Accuracy,F1 Score,Training Time (min)
Transformer,0.9885,0.9885,59.5
Logistic Regression,0.8855,0.8854607989584435,0.0020033677419026693
Random Forest,0.87475,0.8747496164207003,0.006937658786773682
SVM,0.523,0.4184515449438202,0.005001068115234375
